"DRXIP225.Code.or.Value","DRXIP225.Value.Description","DRXIP225.Count","DRXIP225.Cumulative","DRXIP225.Skip.to.Item"
"0 to 1.456","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
