"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",112,112,NA
"2","King (79-88 mm)",562,674,NA
"3","Long (94-101 mm)",368,1042,NA
"4","Ultra long (110-121 mm)",21,1063,NA
".","Missing",6123,7186,NA
