"DR2TCALC.Code.or.Value","DR2TCALC.Value.Description","DR2TCALC.Count","DR2TCALC.Cumulative","DR2TCALC.Skip.to.Item"
"0 to 11164","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
