"RHD120.Code.or.Value","RHD120.Value.Description","RHD120.Count","RHD120.Cumulative","RHD120.Skip.to.Item"
"0 to 304","Range of Values",168,168,NA
"7777","Refused",0,168,NA
"9999","Don't know",1,169,NA
".","Missing",3348,3517,NA
