"PADDURAT.Code.or.Value","PADDURAT.Value.Description","PADDURAT.Count","PADDURAT.Cumulative","PADDURAT.Skip.to.Item"
"10 to 600","Range of Values",12848,12848,NA
".","Missing",19,12867,NA
