"FSD660ZC.Code.or.Value","FSD660ZC.Value.Description","FSD660ZC.Count","FSD660ZC.Cumulative","FSD660ZC.Skip.to.Item"
"1","Yes",623,623,NA
"2","No",213,836,NA
"7","Refused",0,836,NA
"9","Don't know",0,836,NA
".","Missing",9339,10175,NA
