"DR1ILZ.Code.or.Value","DR1ILZ.Value.Description","DR1ILZ.Count","DR1ILZ.Cumulative","DR1ILZ.Skip.to.Item"
"0 to 53409","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
