"DUQ310U.Code.or.Value","DUQ310U.Value.Description","DUQ310U.Count","DUQ310U.Cumulative","DUQ310U.Skip.to.Item"
"1","Days",6,6,NA
"2","Weeks",1,7,NA
"3","Months",3,10,NA
"4","Years",63,73,NA
"7","Refused",2,75,NA
"9","Don't know",0,75,NA
".","Missing",4550,4625,NA
