"LBDIHGLC.Code.or.Value","LBDIHGLC.Value.Description","LBDIHGLC.Count","LBDIHGLC.Cumulative","LBDIHGLC.Skip.to.Item"
"0","At or above the detection limit",900,900,NA
"1","Below lower detection limit",4275,5175,NA
".","Missing",757,5932,NA
