"DS2TVK.Code.or.Value","DS2TVK.Value.Description","DS2TVK.Count","DS2TVK.Cumulative","DS2TVK.Skip.to.Item"
"0.6 to 600","Range of Values",788,788,NA
".","Missing",8756,9544,NA
