"PSQ300.Code.or.Value","PSQ300.Value.Description","PSQ300.Count","PSQ300.Cumulative","PSQ300.Skip.to.Item"
"1","English",61,61,NA
"2","Spanish",7,68,NA
"3","English and Spanish",1,69,NA
"4","Other",0,69,NA
".","Missing",52,121,NA
