"HSQ493.Code.or.Value","HSQ493.Value.Description","HSQ493.Count","HSQ493.Cumulative","HSQ493.Skip.to.Item"
"0 to 30","Range of Values",6336,6336,NA
"77","Refused",0,6336,NA
"99","Don't know",11,6347,NA
".","Missing",2960,9307,NA
