"VIXPLA.Code.or.Value","VIXPLA.Value.Description","VIXPLA.Count","VIXPLA.Cumulative","VIXPLA.Skip.to.Item"
"0 to 180","Range of Values",2202,2202,NA
"888","Could not obtain",41,2243,NA
".","Missing",5202,7445,NA
