"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"74 to 232","Range of Values",6917,6917,NA
".","Missing",2421,9338,NA
