"DS2TMAGN.Code.or.Value","DS2TMAGN.Value.Description","DS2TMAGN.Count","DS2TMAGN.Cumulative","DS2TMAGN.Skip.to.Item"
"0.2 to 2000","Range of Values",1564,1564,NA
".","Missing",8689,10253,NA
