"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.2 to 7.4","Range of Values",5616,5616,NA
"0.1","Below Limit of Detection",2756,8372,NA
".","Missing",807,9179,NA
