"URDOPPLC.Code.or.Value","URDOPPLC.Value.Description","URDOPPLC.Count","URDOPPLC.Cumulative","URDOPPLC.Skip.to.Item"
"0","At or above the detection limit",337,337,NA
"1","Below lower detection limit",2267,2604,NA
".","Missing",114,2718,NA
