"DLQ040.Code.or.Value","DLQ040.Value.Description","DLQ040.Count","DLQ040.Cumulative","DLQ040.Skip.to.Item"
"1","Yes",879,879,NA
"2","No",7899,8778,NA
"7","Refused",1,8779,NA
"9","Don't know",1,8780,NA
".","Missing",990,9770,NA
