"DR2TCHL.Code.or.Value","DR2TCHL.Value.Description","DR2TCHL.Count","DR2TCHL.Cumulative","DR2TCHL.Skip.to.Item"
"0 to 2321.6","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
