"SSTHIA.Code.or.Value","SSTHIA.Value.Description","SSTHIA.Count","SSTHIA.Cumulative","SSTHIA.Skip.to.Item"
"0.02 to 1.79","Range of Values",2408,2408,NA
".","Missing",30,2438,NA
