"AUXROEXC.Code.or.Value","AUXROEXC.Value.Description","AUXROEXC.Count","AUXROEXC.Cumulative","AUXROEXC.Skip.to.Item"
"1","Yes (checkbox checked)",112,112,NA
"2","No (checkbox unchecked)",1037,1149,NA
".","Missing",61,1210,NA
