"FIAPROXY.Code.or.Value","FIAPROXY.Value.Description","FIAPROXY.Count","FIAPROXY.Cumulative","FIAPROXY.Skip.to.Item"
"1","Yes",9,9,NA
"2","No",9633,9642,NA
".","Missing",329,9971,NA
