"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1441,1441,NA
"1","Below lower detection limit",1135,2576,NA
".","Missing",144,2720,NA
