"RXD331Q.Code.or.Value","RXD331Q.Value.Description","RXD331Q.Count","RXD331Q.Cumulative","RXD331Q.Skip.to.Item"
"1 to 15","Range of Values",929,929,NA
"7777","Refused",0,929,NA
"9999","Don't know",0,929,NA
".","Missing",4710,5639,NA
