"DRXIS120.Code.or.Value","DRXIS120.Value.Description","DRXIS120.Count","DRXIS120.Cumulative","DRXIS120.Skip.to.Item"
"0 to 18.53","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
