"LBXRPL.Code.or.Value","LBXRPL.Value.Description","LBXRPL.Count","LBXRPL.Cumulative","LBXRPL.Skip.to.Item"
"0.13 to 58.52","Range of Values",7127,7127,NA
"0.09","Fill Value of Limit of Detection",141,7268,NA
".","Missing",714,7982,NA
