"DS2TFA.Code.or.Value","DS2TFA.Value.Description","DS2TFA.Count","DS2TFA.Cumulative","DS2TFA.Skip.to.Item"
"2 to 6300","Range of Values",1630,1630,NA
".","Missing",7708,9338,NA
