"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",1912,1912,NA
"2","No",6564,8476,NA
"7","Refused",1,8477,NA
"9","Don't know",8,8485,NA
".","Missing",1050,9535,NA
