"DR2ISUGR.Code.or.Value","DR2ISUGR.Value.Description","DR2ISUGR.Count","DR2ISUGR.Cumulative","DR2ISUGR.Skip.to.Item"
"0 to 638.88","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
