"BIXC083K.Code.or.Value","BIXC083K.Value.Description","BIXC083K.Count","BIXC083K.Cumulative","BIXC083K.Skip.to.Item"
"33.01 to 144.46","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
