"DR1IS180.Code.or.Value","DR1IS180.Value.Description","DR1IS180.Count","DR1IS180.Cumulative","DR1IS180.Skip.to.Item"
"0 to 29.579","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
