"BPXPULS.Code.or.Value","BPXPULS.Value.Description","BPXPULS.Count","BPXPULS.Cumulative","BPXPULS.Skip.to.Item"
"1","Regular",8054,8054,NA
"2","Irregular",227,8281,NA
".","Missing",423,8704,NA
