"PAQ690a.Code.or.Value","PAQ690a.Value.Description","PAQ690a.Count","PAQ690a.Cumulative","PAQ690a.Skip.to.Item"
"10","Wore a mask",48,48,NA
"77","Refused",0,48,NA
"99","Don't Know",0,48,NA
".","Missing",6841,6889,NA
