"WBXP080.Code.or.Value","WBXP080.Value.Description","WBXP080.Count","WBXP080.Cumulative","WBXP080.Skip.to.Item"
"-171.4419 to 171.1699","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
