"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 50","Range of Values",2696,2696,NA
"77","Refused",0,2696,NA
"99","Don't know",3,2699,NA
".","Missing",2043,4742,NA
