"MGDSEAT.Code.or.Value","MGDSEAT.Value.Description","MGDSEAT.Count","MGDSEAT.Cumulative","MGDSEAT.Skip.to.Item"
"1","Standing",4611,4611,NA
"2","Seated",172,4783,NA
".","Missing",3038,7821,NA
