"MCQ150Q.Code.or.Value","MCQ150Q.Value.Description","MCQ150Q.Count","MCQ150Q.Cumulative","MCQ150Q.Skip.to.Item"
"0 to 180","Range of Values",3208,3208,NA
"77777","Refused",0,3208,NA
"99999","Don't know",2,3210,NA
".","Missing",6612,9822,NA
