"DR2TFOLA.Code.or.Value","DR2TFOLA.Value.Description","DR2TFOLA.Count","DR2TFOLA.Cumulative","DR2TFOLA.Skip.to.Item"
"0 to 3663","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
