"LBXHBS.Code.or.Value","LBXHBS.Value.Description","LBXHBS.Count","LBXHBS.Cumulative","LBXHBS.Skip.to.Item"
"1","Positive",2638,2638,NA
"2","Negative",5623,8261,NA
".","Missing",914,9175,NA
