"URXUUR.Code.or.Value","URXUUR.Value.Description","URXUUR.Count","URXUUR.Cumulative","URXUUR.Skip.to.Item"
"0.0014 to 0.8434","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
