"ALQ120U.Code.or.Value","ALQ120U.Value.Description","ALQ120U.Count","ALQ120U.Cumulative","ALQ120U.Skip.to.Item"
"1","Week",1461,1461,NA
"2","Month",953,2414,NA
"3","Year",1179,3593,NA
"7","Refused",0,3593,NA
"9","Don't know",0,3593,NA
".","Missing",2331,5924,NA
