"URXOP3.Code.or.Value","URXOP3.Value.Description","URXOP3.Count","URXOP3.Cumulative","URXOP3.Skip.to.Item"
"0.0707 to 355","Range of Values",2800,2800,NA
".","Missing",186,2986,NA
