"LBXIRN.Code.or.Value","LBXIRN.Value.Description","LBXIRN.Count","LBXIRN.Cumulative","LBXIRN.Skip.to.Item"
"5 to 292","Range of Values",7877,7877,NA
".","Missing",955,8832,NA
