"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"24.4 to 51.9","Range of Values",7402,7402,NA
".","Missing",2411,9813,NA
