"LBXP1.Code.or.Value","LBXP1.Value.Description","LBXP1.Count","LBXP1.Cumulative","LBXP1.Skip.to.Item"
"0.07 to 64.21","Range of Values",1630,1630,NA
".","Missing",262,1892,NA
