"VTQ230B.Code.or.Value","VTQ230B.Value.Description","VTQ230B.Count","VTQ230B.Cumulative","VTQ230B.Skip.to.Item"
"1","Yes",135,135,NA
"2","No",1322,1457,NA
"7","Refused",3,1460,NA
"9","Don't know",4,1464,NA
".","Missing",25,1489,NA
