"ORXH16.Code.or.Value","ORXH16.Value.Description","ORXH16.Count","ORXH16.Cumulative","ORXH16.Skip.to.Item"
"1","Positive",41,41,NA
"2","Negative",4683,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
