"CIQP13A.Code.or.Value","CIQP13A.Value.Description","CIQP13A.Count","CIQP13A.Cumulative","CIQP13A.Skip.to.Item"
"1","Yes",96,96,NA
"2","No",22,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
