"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"5 to 557","Range of Values",6527,6527,NA
".","Missing",452,6979,NA
