"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"12 to 3187","Range of Values",5969,5969,NA
".","Missing",580,6549,NA
