"LBXSGB.Code.or.Value","LBXSGB.Value.Description","LBXSGB.Count","LBXSGB.Cumulative","LBXSGB.Skip.to.Item"
"0.6 to 7","Range of Values",6252,6252,NA
".","Missing",492,6744,NA
