"LBDCOTSI.Code.or.Value","LBDCOTSI.Value.Description","LBDCOTSI.Count","LBDCOTSI.Cumulative","LBDCOTSI.Skip.to.Item"
"0.199 to 5617.52","Range of Values",7284,7284,NA
".","Missing",1548,8832,NA
