"DUQ270U.Code.or.Value","DUQ270U.Value.Description","DUQ270U.Count","DUQ270U.Cumulative","DUQ270U.Skip.to.Item"
"1","Days",38,38,NA
"2","Weeks",20,58,NA
"3","Months",39,97,NA
"4","Years",424,521,NA
"7","Refused",0,521,NA
"9","Don't know",0,521,NA
".","Missing",4275,4796,NA
