"MIAINTRP.Code.or.Value","MIAINTRP.Value.Description","MIAINTRP.Count","MIAINTRP.Cumulative","MIAINTRP.Skip.to.Item"
"1","Yes",206,206,NA
"2","No",6507,6713,NA
".","Missing",3043,9756,NA
