"URDPTULC.Code.or.Value","URDPTULC.Value.Description","URDPTULC.Count","URDPTULC.Cumulative","URDPTULC.Skip.to.Item"
"0","At or above the detection limit",8,8,NA
"1","Below lower detection limit",2565,2573,NA
".","Missing",121,2694,NA
