"URDMU7LC.Code.or.Value","URDMU7LC.Value.Description","URDMU7LC.Count","URDMU7LC.Cumulative","URDMU7LC.Skip.to.Item"
"0","At or above detection limit",2513,2513,NA
"1","Below lower detection limit",108,2621,NA
".","Missing",138,2759,NA
