"RFXC100.Code.or.Value","RFXC100.Value.Description","RFXC100.Count","RFXC100.Cumulative","RFXC100.Skip.to.Item"
"-7.652 to 4.913","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
