"BIXS339K.Code.or.Value","BIXS339K.Value.Description","BIXS339K.Count","BIXS339K.Cumulative","BIXS339K.Skip.to.Item"
"74.99 to 862.52","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
