"WHQ070.Code.or.Value","WHQ070.Value.Description","WHQ070.Count","WHQ070.Cumulative","WHQ070.Skip.to.Item"
"1","Yes",1916,1916,""
"2","No",4203,6119,"WHQ090"
"7","Refused",1,6120,"WHQ090"
"9","Don't know",9,6129,"WHQ090"
".","Missing",760,6889,""
