"DSQIPOTA.Code.or.Value","DSQIPOTA.Value.Description","DSQIPOTA.Count","DSQIPOTA.Cumulative","DSQIPOTA.Skip.to.Item"
"0.04 to 5600","Range of Values",980,980,NA
".","Missing",8579,9559,NA
