"MPQ100.Code.or.Value","MPQ100.Value.Description","MPQ100.Count","MPQ100.Cumulative","MPQ100.Skip.to.Item"
"1","Yes",1036,1036,""
"2","No",3836,4872,"End of Section"
"7","Refused",1,4873,"End of Section"
"9","Don't know",4,4877,"End of Section"
".","Missing",3,4880,""
