"URDAMULC.Code.or.Value","URDAMULC.Value.Description","URDAMULC.Count","URDAMULC.Cumulative","URDAMULC.Skip.to.Item"
"0","At or above detection limit",2397,2397,NA
"1","Below lower detection limit",0,2397,NA
".","Missing",108,2505,NA
