"DR2ISUGR.Code.or.Value","DR2ISUGR.Value.Description","DR2ISUGR.Count","DR2ISUGR.Cumulative","DR2ISUGR.Skip.to.Item"
"0 to 845.6","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
