"SMQ666C.Code.or.Value","SMQ666C.Value.Description","SMQ666C.Count","SMQ666C.Cumulative","SMQ666C.Skip.to.Item"
"1","Regulars",21,21,NA
"2","Lights",18,39,NA
"3","Ultralights",0,39,NA
"7","Refused",0,39,NA
"9","Don't know",0,39,NA
".","Missing",7147,7186,NA
